Date : 2024-09-26 21:00:55
Directory : c:\xampp\htdocs\logistica
Total : 244 files,  25401 codes, 3481 comments, 3214 blanks, all 32096 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\helpers\_colored-links.scss                        | SCSS       |         11 |          0 |          2 |         13 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\helpers\_position.scss                             | SCSS       |         24 |          2 |          5 |         31 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\helpers\_ratio.scss                                | SCSS       |         21 |          1 |          5 |         27 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\helpers\_stretched-link.scss                       | SCSS       |         11 |          3 |          2 |         16 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\helpers\_text-truncation.scss                      | SCSS       |          3 |          3 |          2 |          8 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\helpers\_visually-hidden.scss                      | SCSS       |          4 |          3 |          2 |          9 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\mixins\_alert.scss                                 | SCSS       |          8 |          2 |          2 |         12 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\mixins\_border-radius.scss                         | SCSS       |         63 |          5 |         11 |         79 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\mixins\_box-shadow.scss                            | SCSS       |         16 |          0 |          3 |         19 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\mixins\_breakpoints.scss                           | SCSS       |         73 |         44 |         11 |        128 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\mixins\_buttons.scss                               | SCSS       |        104 |         16 |         14 |        134 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\mixins\_caret.scss                                 | SCSS       |         55 |          2 |          8 |         65 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\mixins\_clearfix.scss                              | SCSS       |          7 |          2 |          1 |         10 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\mixins\_color-scheme.scss                          | SCSS       |          5 |          2 |          1 |          8 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\mixins\_container.scss                             | SCSS       |          7 |          1 |          2 |         10 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\mixins\_deprecate.scss                             | SCSS       |          5 |          5 |          1 |         11 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\mixins\_forms.scss                                 | SCSS       |        116 |          5 |         17 |        138 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\mixins\_gradients.scss                             | SCSS       |         27 |         11 |         10 |         48 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\mixins\_grid.scss                                  | SCSS       |         88 |         21 |         17 |        126 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\mixins\_image.scss                                 | SCSS       |          4 |          9 |          4 |         17 |
