"filename", "language", "PHP", "JavaScript", "SCSS", "Markdown", "CSS", "JSON", "XML", "Python", "comment", "blank", "total"
"c:\xampp\htdocs\logistica\resources\views\solicitudes\historial.blade.php", "PHP", 59, 0, 0, 0, 0, 0, 0, 0, 0, 5, 64
"c:\xampp\htdocs\logistica\resources\views\solicitudes\index.blade.php", "PHP", 59, 0, 0, 0, 0, 0, 0, 0, 0, 5, 64
"c:\xampp\htdocs\logistica\resources\views\solicitudes\show.blade.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"c:\xampp\htdocs\logistica\resources\views\typeCertificates\create.blade.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"c:\xampp\htdocs\logistica\resources\views\typeCertificates\edit.blade.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"c:\xampp\htdocs\logistica\resources\views\typeCertificates\index.blade.php", "PHP", 39, 0, 0, 0, 0, 0, 0, 0, 0, 3, 42
"c:\xampp\htdocs\logistica\resources\views\typeCertificates\show.blade.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 0, 0, 5, 37
"c:\xampp\htdocs\logistica\resources\views\typeClothings\create.blade.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"c:\xampp\htdocs\logistica\resources\views\typeClothings\edit.blade.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"c:\xampp\htdocs\logistica\resources\views\typeClothings\index.blade.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 0, 0, 3, 44
"c:\xampp\htdocs\logistica\resources\views\typeClothings\show.blade.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\xampp\htdocs\logistica\resources\views\users\index.blade.php", "PHP", 56, 0, 0, 0, 0, 0, 0, 0, 0, 5, 61
"c:\xampp\htdocs\logistica\resources\views\users\show.blade.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"c:\xampp\htdocs\logistica\resources\views\welcome.blade.php", "PHP", 151, 0, 0, 0, 0, 0, 0, 0, 0, 22, 173
"c:\xampp\htdocs\logistica\routes\console.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\xampp\htdocs\logistica\routes\web.php", "PHP", 45, 0, 0, 0, 0, 0, 0, 0, 0, 7, 52
"c:\xampp\htdocs\logistica\tests\Feature\ExampleTest.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"c:\xampp\htdocs\logistica\tests\Feature\UserTest.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 3, 5, 21
"c:\xampp\htdocs\logistica\tests\TestCase.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 1, 4, 11
"c:\xampp\htdocs\logistica\tests\Unit\ExampleTest.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 3, 4, 17
